glom,1-butanol,1-hexanol,1-pentanol,"2,3-butanedione",2-heptanone,2-octanone,3-methylthio-1-propanol,3-octanol,4-methylcyclohexanol,4-methylphenol,E2-hexenal,Z3-hexenol,benzaldehyde,butyric acid,cyclohexanone,ethanol,ethyl acetate,ethyl butyrate,ethyl lactate,gamma-valerolactone,geranyl acetate,hexyl acetate,isopentyl acetate,methyl salicylate,octanal,pentyl acetate
VA3,0.52685,0.74143,0.70133,0.16671,0.54708,0.29641,0.82494,0.12333,0.8755700000000001,0.029358999999999996,0.42717,0.90725,0.69465,0.14099,0.29428000000000004,-0.080453,0.07800399999999999,0.016638,0.31871,0.20048,0.049706,0.08416,0.097263,0.026716000000000004,0.061459,0.36634
DP1l,0.029358999999999996,0.27671999999999997,0.51985,0.53037,0.071298,0.18804,-0.051460000000000006,0.29803,-0.013349000000000001,-0.0017977,0.23285,0.50836,0.029942,0.13985999999999998,-0.0022892,0.010556,-0.038733,0.24424,0.074414,0.27616999999999997,-0.033875,-0.014058000000000001,0.041915,0.030539,-0.0057838,-0.049818
DC4,0.29531,0.61631,0.54708,0.66098,0.48311000000000004,0.34110999999999997,-0.097763,0.5445300000000001,0.5086,0.082275,0.47865,0.94975,0.25428,0.94975,0.024678,-0.042566,0.278,0.7387,0.098579,0.24909,-0.004428100000000001,0.47818999999999995,0.40149,0.017108,0.041061,0.27068000000000003
VC2,0.024678,0.11847,0.039374,0.019073,0.044927999999999996,0.35056,0.038831,0.0095585,0.083311,0.6402100000000001,0.0060571999999999996,0.32024,0.025123,0.024584,-0.00082903,0.019438999999999998,0.0078566,0.045704,0.021262,0.009736,-0.0083874,-0.018813,0.028612000000000002,0.46765,0.030151,0.029911
VA4,0.031493,0.6392100000000001,0.44235,0.094125,0.50836,0.3741,0.1921,0.3685,0.089986,-0.015424,0.076066,0.68879,0.095374,0.061328999999999995,-0.0012055999999999998,-0.033213,0.089902,0.06287100000000001,0.1921,0.041783,0.034383,0.080807,0.3132,0.00098154,-0.00023402,0.7064
DC2,0.21556999999999998,0.51985,0.75342,0.15016,0.26334,0.33629000000000003,0.11098,0.5786,0.077615,0.019372,0.35084,0.3741,0.024962,0.30464,0.041061,0.031654,0.07631,0.10880999999999999,0.059908,0.20299,0.11562,0.33121,0.14615999999999998,0.069659,0.12644,0.39469
VM7v,0.0079029,0.13985999999999998,0.38022,0.098705,0.14396,0.15207,-0.0015180999999999999,0.20367000000000002,-0.005135100000000001,0.00091788,0.0036796999999999997,0.34886999999999996,0.017149,0.031654,0.0433,0.0034103000000000002,0.072364,0.31351,0.13413,0.0082786,-0.006208600000000001,0.026008999999999997,0.09319,0.0,-0.007746300000000001,0.13665
DM5,0.0096478,0.23656999999999997,0.32348000000000005,0.0047381,0.0038155000000000003,0.23041,0.018013,0.036257,0.014037,-0.00023402,0.015997,0.30279,0.005306399999999999,0.0046265,-0.0027133,-0.039663,0.023223,0.27616999999999997,0.092657,0.073961,0.00064147,-0.0016268,0.031654,0.0012689,-0.0027133,0.013713999999999999
DL2v,-0.021411000000000003,0.11229000000000001,0.04755,0.1921,0.024824000000000002,0.058316999999999994,-0.05753099999999999,-0.014981999999999999,-0.027054,-0.0072336,0.18804,0.024824000000000002,0.037630000000000004,0.29803,-0.013666,-0.004292600000000001,-0.019213,0.0034103000000000002,0.0047381,0.19801,-0.015719,0.036361000000000004,0.0020814,0.099768,0.14897,-0.023658000000000002
VM3,0.27764,0.27148,0.39111,0.26871999999999996,0.27965999999999996,0.37379,0.26261,0.35084,0.3685,-0.15747,0.12494000000000001,0.37974,0.22759000000000001,0.34886999999999996,0.074414,0.075558,0.16305,0.32024,0.21555,0.21335,0.025147,0.13919,0.35083000000000003,0.041423,-0.020749,0.24151999999999998
VC1,0.013904,0.27068000000000003,0.42717,0.12449,0.12829000000000002,0.24106999999999998,0.023637000000000002,0.3371,0.035715,0.29307,0.14897,0.4751,0.08472400000000001,0.038173,0.019073,-0.015719,0.055804999999999993,0.18574000000000002,0.068966,0.048659,-0.010731000000000001,0.053155999999999995,0.1666,0.059627,-0.022113,0.11562
VA5,0.035715,0.025113,0.08755800000000001,0.031169,0.010714,0.21555,0.019516,0.029942,0.029942,0.4307,-0.0072336,0.073111,0.087173,0.024846,0.0027039,0.01099,0.011441,-0.0022892,0.066909,0.029942,-0.00098733,0.0058373,0.026661,0.049793000000000004,0.009612200000000001,0.02163
DL2d,-0.021411000000000003,0.11229000000000001,0.04755,0.1921,0.024824000000000002,0.058316999999999994,-0.055917999999999995,-0.014633000000000002,-0.026444,-0.006736399999999999,0.18804,0.024824000000000002,0.037630000000000004,0.29803,-0.013666,-0.0042102,-0.019213,0.0034103000000000002,0.005193199999999999,0.19816,-0.015719,0.036361000000000004,0.0027039,0.1008,0.14897,-0.023658000000000002
VA7l,-0.014588999999999998,-0.018147,0.027542,0.020177,-0.083142,0.13871,-0.08586,-0.097763,-0.018417,0.50527,-0.067101,0.033424,0.047577999999999995,0.025147,-0.08586,0.026661,-0.072072,-0.0017169000000000002,0.021632,0.060921,0.011426,0.015997,-0.063908,0.04755,-0.013825,-0.0015180999999999999
DA4l,-0.0045867,0.45106,0.26014,0.038028,0.14215,0.32261999999999996,0.017509999999999998,0.6844600000000001,0.22759000000000001,0.92499,0.1666,0.32550999999999997,0.13416,-0.034442,0.37032,-0.034442,-0.0083181,0.09123099999999999,0.029911,0.09123099999999999,-0.035128,-0.014058000000000001,0.06805,0.071298,0.009623200000000002,0.053746
DA4m,0.078044,0.1008,0.09171699999999999,0.011754,0.12829000000000002,0.17338,0.020177,0.13252,-0.0049254,-0.029105000000000002,0.03573,0.074783,0.006965300000000001,0.027542,0.074411,0.010556,-0.0017977,0.024869,0.10329,0.096932,0.0035741999999999996,0.074783,0.18561,0.010501,-0.0064389,0.13045
VM2,0.32261999999999996,0.33234,0.44568,0.25428,0.26965,0.27432,0.18574000000000002,0.20048,0.34343,0.16343,0.31664000000000003,0.34343,0.13665,0.098579,0.069918,0.047256,0.47744,0.70133,0.3913,-0.017186,0.054363999999999996,0.071292,0.40149,0.047807999999999996,0.004292600000000001,0.35056
