model_glom,1-butanol,1-hexanol,1-pentanol,"2,3-butanedione",2-heptanone,2-octanone,3-methylthio-1-propanol,3-octanol,4-methylcyclohexanol,4-methylphenol,E2-hexenal,Z3-hexenol,benzaldehyde,butyric acid,cyclohexanone,ethanol,ethyl acetate,ethyl butyrate,ethyl lactate,gamma-valerolactone,geranyl acetate,hexyl acetate,isopentyl acetate,methyl salicylate,octanal,pentyl acetate
VM4,,,,-0.0063583360344437,,,,,,,,,,-0.0425659677916809,,,-0.0151823111046878,,,,,,,,,-0.0167282905644341
VM5d,0.128475458236141,0.5916226043138921,0.508151421203117,0.30488690726262296,0.648349440593971,,0.12230919326999001,0.676272196521312,0.0797177429774156,0.370958442232175,0.366602176474432,0.5958681207096421,0.0696668178570496,0.0689656161055506,0.0492318269981676,0.0295812115349694,0.0627120930854946,0.20879259265736,0.19800833389639602,0.0473438751296116,0.0618755690803206,0.0531563208520216,0.33709654357706503,0.009448347277765999,,0.556714326369918
DM2,0.270434581877445,0.173380447604147,0.39385783194204294,0.16047166990007802,0.26166866105852804,,0.0910587180679215,0.337339299455226,0.25377018742185,0.13829041972329098,0.0656969889749615,0.0549420838910235,0.0981032902190325,0.181794479309249,-0.0804529428182395,0.110604781329965,0.181259600118515,0.40185320552641296,0.145691981191388,0.307930650557358,-0.007433093172360909,0.302789273393601,0.47864565821988003,0.0255627395759975,-0.00966740969606111,0.456962050569375
VL1,,,,-0.0023576846853004,,,,,,,,,,0.0201599125264812,,,-0.0184172760199549,,,,,,,,,0.0023576846853003
DM3,-0.0171861484364543,0.0387154405338941,,0.0316346775343928,0.448277744346959,,0.6844621354806539,0.213349126625935,-0.0015180829874968,0.023139696753307005,0.0216320172866225,,0.0160748320238272,-0.0146325058189028,-0.0116343616088414,,0.0987045862589362,0.0409663809884065,,-0.0015180829874968,0.0419147524325514,,0.29307257417649796,0.0143018996159152,,0.924992626288757
DM4,0.0843211232859157,0.0456002233901397,0.11612725881401699,0.31767319470379496,0.0436025257839709,,0.0376352612085596,0.0223529527094631,0.0305385325566802,0.0144395424172728,0.0161883717043088,0.0876906061897217,0.0043739815754915,0.049597236398370007,-0.0077463147914401,0.0212615631677173,0.580953207739183,0.0962633979704927,0.323479854339334,0.0223529527094631,0.0378132585782263,0.0811666239232167,0.0777461770168767,-0.0022853101063404,,0.104785486660813
DM6,0.125098144325131,0.279556394845513,0.270953687915382,0.13489562438247998,0.322616551993591,,0.0988869202899005,0.319303201774394,,,0.212225322960293,0.212056460725465,0.445332827767257,0.23980159837735698,,-0.0049253676961923,0.0592483411664462,0.30576884702677,0.0744203147050927,,0.0160952767843601,0.0969322837505315,0.335583883446487,0.0388425699778376,,0.37434646227910295
DL4,0.0822752539210935,0.205499168780722,0.18229421001031898,0.05777483983515,0.15387084401918,,0.121659670297935,,,,0.0968557445366145,0.174952010743026,0.12933850124133697,0.0635365826711832,,0.0075094737137465,0.0417852867008315,0.0730521368782565,0.239012069960719,,-0.0148219168268822,0.0075094737137465,0.0795945263080435,0.0184819807946949,,0.103413768892409
VC3l,,,,,,,,,,,,,,,,,,,,,,,,,,
DC3,0.0783410138248852,0.0783410138248852,0.15207373271889402,0.0783410138248852,0.12442396313363999,0.0921658986175112,-0.032258064516129,0.0460829493087562,0.0783410138248852,,0.170506912442396,,0.19815668202765,0.0,0.15207373271889402,0.0,0.230414746543779,0.0599078341013822,,0.0,0.24423963133640503,0.0599078341013822,0.0138248847926267,-0.0138248847926267,0.0460829493087562,0.0138248847926267
VM7d,0.228314772670202,0.39646670590322897,,0.6163086793065781,0.45910400709785,,,0.0941254615094748,0.0606380972688298,-0.0163406670910082,0.514832161538324,,0.0557028240292338,-0.0308048706753428,0.171231615614139,,0.7228598721210409,0.738696680255689,,,0.0629184095979298,,0.273525721538608,0.0315420342755638,,0.0997680670521948
V,0.069117025453449,-0.0669046663944521,,-0.00965941926365099,0.017107596075316003,,,-0.011516291786368,,0.06191979239129199,0.017283365188574,,0.083311669374902,,0.17765981847110604,-0.011516291786368,0.037526407315129,0.035739813821706004,,0.009017819310097009,0.025240017011092998,,0.016909807724885,0.023069063772577007,0.000981536791755999,0.134128519315622
VL2p,,,,-0.0398443183647953,,,,,,,,,,-0.103260723632768,,,-0.004372944429193,,,,,,,,,-0.009338239896603
VM1,,,,0.0052116228277751895,,,,,,,,,,-0.0605265190844794,,,-0.0187508122904082,,,,,,,,,-0.0264441602742669
VC3m,,,,,,,,,,,,,,,,,,,,,,,,,,
DC1,0.10189338280789,0.25184468416816197,0.184826583666848,0.04131406886921,0.275492248668106,0.34110541133926897,-0.0166270043446159,0.373790444748825,-0.0482926924587923,-0.0211394404261142,0.059627191247304,0.18347013513291502,0.053405828007106,0.015121415619163001,0.062519391341592,-0.0212082751340111,-0.000452161348620805,0.119741210369235,0.04395042263296399,-0.0802569274771935,0.01390372924801,0.11148749301397501,0.23847215774828798,0.014594421707553002,0.031653580929085,0.269380216244456
DL5,0.29530995131189397,0.139398084589589,0.31871120759782395,0.16300110202672102,0.0476990308956985,,0.0808141269948336,0.0319699368264356,0.0601159252436818,0.0474407577629715,0.8249427198518159,0.402313685165634,0.5508588031175251,0.0926565925529466,0.0381729050846638,0.10500941582396402,0.0545878210495383,0.0452842998093753,0.0938956400523766,0.0601159252436818,0.0494362082308965,0.0191036526089748,0.0334241749151824,0.0536961350231714,,0.0546515285642389
D,,,,0.0730958230958231,0.347358722358722,0.44686732186732203,,0.740786240786241,0.635135135135135,0.5841523341523339,0.27671990171990196,0.47819410319410294,0.14619164619164599,0.48310810810810795,0.223587223587224,,,,,0.326474201474201,0.38022113022113,0.508599508599509,,0.544533169533169,0.291461916461916,
DP1m,,,,0.549428687755344,,,,,,,,,,0.21743291365907502,,,0.0329797126585697,,,,,,,,,0.061328940408512
VM5v,0.0295158207757927,0.44285291287490397,0.23285375987538698,0.0808074080765968,0.622802129879756,,0.0851222565401368,0.592135255747673,0.0847235011148553,0.0847235011148553,0.0827001268799356,0.442352654497146,0.12824710103998,0.0584264223560101,0.0667196148711483,0.0085751045501291,0.0355436244805746,0.25469080768289304,0.20411637136316396,0.0847235011148553,0.19186451245011701,0.242487389171082,0.6392080273678421,0.0337041483411907,,0.635674931424833
DA3,0.17751861071864103,0.19796362527860298,0.247927772457784,0.0681366176108043,0.141040052650988,,-0.0042925808537571,,,,0.187987460508858,0.16525538708186,-0.0107314521343929,-0.0064388712806357,0.144066038628935,0.0131253173633612,0.0100272912209249,0.0444956230714374,0.0353987358510848,,0.0133204963502183,0.0042925808537572,0.0985251359322178,0.0051932150759828,,0.11255898253840302
VC4,0.0763925013000945,0.17453613191295902,0.415497611653257,0.0749341543518275,0.0659813910652243,,0.0595730816821161,0.0481288322928658,0.0481288322928658,0.0481288322928658,0.125779732235767,0.409367634507239,0.014278011976968001,0.0377336044741588,0.0146535531468703,0.0397594953072294,0.0571304705034006,0.40778071890530604,0.481701364830245,0.0481288322928658,0.0161432532295096,-0.0051351055566297,0.06092126519543401,0.0240116823588596,,0.049392006348694006
DA2,,-0.0216452294795046,,-0.0135817235919941,-0.0270596180327584,0.24100428978377,,0.24106821429272196,0.274316703627142,-0.0506770561936189,0.23814005298475102,0.25066203768294504,-0.0419046027252771,-0.0389801978172877,-0.045987632974663,,0.0108329389919509,0.12448612003554302,0.238418753336094,0.249092159490935,-0.0270544459009549,-0.0393821866563452,0.240187713896449,0.0216530973158194,-0.0424755573365404,0.24107219417662698
VA7m,,,,,,,,,,,,,,,,,,,,,,,,,,
