bodyid,pre,post,upstream,downstream,status,name,voxels,soma,side,connectivity.type,cell.type,class,cellBodyFiber,glomerulus,layer,ct.layer,axon.outputs,dend.outputs,axon.inputs,dend.inputs,total.length,axon.length,dend.length,pd.length,segregation_index,is_canonical,across_dataset_cluster,notes
698526273,90,174,174,827,Traced,M_vPNml74_R,214657208,False,right,M_vPNml74,M_vPNml74,mPN,AVM04,mPN,2.8939999999999997,3.0,805.0,0.0,41.0,130.0,883.835805253315,171.033132945538,326.188859444786,230.699804465358,0.637685228133303,False,125,
759922408,137,345,345,1187,Traced,M_vPNml74_R,214265588,False,right,M_vPNml74,M_vPNml74,mPN,AVM04,mPN,2.461,3.0,1016.0,97.0,37.0,270.0,1098.75584636153,199.095159174511,416.519641569412,275.365496142814,0.49794206470098495,False,124,
760250511,129,159,159,1514,Traced,M_vPNml78_R,204561032,False,right,M_vPNml78,M_vPNml78,mPN,AVM04,mPN,2.87,3.0,1438.0,3.0,21.0,134.0,929.787676449176,258.648285967246,294.868996902677,227.12612198745498,0.7555497839784441,False,109,
5813090752,92,181,181,988,Traced,M_vPNml81_R,237647113,False,right,M_vPNml81,M_vPNml81,mPN,AVM04,mPN,2.8110000000000004,3.0,946.0,0.0,66.0,108.0,1179.79252681574,243.54074907927398,503.399084149222,238.44834587148497,0.4956112785576379,False,107,
1671638278,1862,6170,6170,13674,Traced,M_l2PNl20_R,4532055419,True,right,M_l2PNl20,M_l2PNl20,mPN,AVM03,mPN,2.07,2.0,10383.0,3275.0,512.0,5651.0,8424.150596773921,1714.8673418498402,5780.32255269125,130.133843260202,0.35436064280118196,False,186,
1793403571,939,2886,2886,9273,Traced,M_l2PNl22_R,2102922251,True,right,M_l2PNl22,M_l2PNl22,mPN,AVM03,mPN,2.165,2.0,9264.0,6.0,687.0,2188.0,5096.68166190923,1574.1170203118202,2461.17560968808,248.1274817759,0.61777058273089,False,178,
1701299822,689,2311,2311,5938,Traced,M_imPNl92_R,1079418449,False,right,M_imPNl92,M_imPNl92,mPN,,mPN,3.085,3.0,4895.0,1032.0,467.0,1835.0,3818.80892380445,620.269094815571,2688.96563736746,143.274125993311,0.290778562732924,False,189,
1917866877,927,2694,2694,7948,Traced,M_l2PNl23_R,1603186476,True,right,M_l2PNl23,M_l2PNl23,mPN,AVM03,mPN,2.8960000000000004,3.0,5259.0,2578.0,375.0,2296.0,4721.258760447439,666.077448169637,3128.71859961263,224.84498265476898,0.20283791327941395,False,183,
1700307582,1054,3017,3017,8839,Traced,M_l2PNl21_R,2303103158,True,right,M_l2PNl21,M_l2PNl21,mPN,AVM03,mPN,2.37,2.0,7644.0,1150.0,373.0,2628.0,5476.9573015203605,1112.54139309526,3417.5309674956898,243.214946373089,0.42743519726623297,False,188,
1037293275,1118,3040,3040,9077,Traced,M_l2PNm16_R,1881365149,False,right,M_l2PNm16,M_l2PNm16,mPN,AVM03,mPN,3.052,3.0,6847.0,1983.0,423.0,2593.0,5725.7582774361,908.161909991757,3645.5630384787605,224.928071735853,0.29402732265717896,False,167,
